iter	Logloss
0	0.5233172892
1	0.4376287426
2	0.4055595808
3	0.3966618473
4	0.3821139319
5	0.3705499027
6	0.3624392821
7	0.3564049232
8	0.3464463483
9	0.3371930413
10	0.333615867
11	0.3258267748
12	0.3233441862
13	0.3198034088
14	0.3178591164
15	0.3142596009
16	0.3113464574
17	0.308212499
18	0.3048917709
19	0.3013826869
20	0.2962045977
21	0.2897244525
22	0.2846758989
23	0.2824190201
24	0.2779479215
25	0.2756082405
26	0.2704943312
27	0.2669263177
28	0.2654056071
29	0.2629415314
30	0.2588425503
31	0.2553773832
32	0.2513368395
33	0.2476917116
34	0.2442978069
35	0.2408602588
36	0.2375180918
37	0.2360663739
38	0.2315667265
39	0.2293146605
40	0.2273218298
41	0.2263607722
42	0.2248489216
43	0.2211733172
44	0.2172559102
45	0.2149512178
46	0.2110585859
47	0.209252484
48	0.2072053588
49	0.2064890981
50	0.2039232972
51	0.2013028599
52	0.198760959
53	0.1968217939
54	0.1953063609
55	0.1946777836
56	0.1941275101
57	0.1913292041
58	0.1901621118
59	0.1887356064
60	0.1845514715
61	0.1809558253
62	0.1795532609
63	0.1781869157
64	0.1759725865
65	0.1724148959
66	0.1698661722
67	0.1670571467
68	0.1630882892
69	0.1613493752
70	0.1601826794
71	0.158862425
72	0.1575787452
73	0.1562977179
74	0.1559174377
75	0.1528256871
76	0.1506091292
77	0.1490649288
78	0.1482863888
79	0.145150024
80	0.1433962477
81	0.1426111584
82	0.1417258068
83	0.1401354745
84	0.1378440037
85	0.1368346402
86	0.1355768019
87	0.1338715365
88	0.1329098773
89	0.1313649249
90	0.1297749618
91	0.1277710016
92	0.1262112553
93	0.1226609206
94	0.1211901976
95	0.1206013533
96	0.1197934715
97	0.1181146492
98	0.1169591924
99	0.1145150106
100	0.1136489308
101	0.112195784
102	0.1102779416
103	0.1089395024
104	0.1080300526
105	0.1059096825
106	0.1042072474
107	0.1035892801
108	0.1026649885
109	0.1016314175
110	0.1010523697
111	0.100609564
112	0.09917637951
113	0.0983776448
114	0.09708241835
115	0.0959625039
116	0.09465253823
117	0.0928603415
118	0.09257683019
119	0.0912071898
120	0.09064945098
121	0.09014031195
122	0.08950459743
123	0.08894419243
124	0.08850937163
125	0.08710650646
126	0.08590748831
127	0.08569385843
128	0.08454781536
129	0.08204646777
130	0.08102905109
131	0.08072211836
132	0.07921172385
133	0.07837699562
134	0.07802473089
135	0.07729413432
136	0.07627411982
137	0.07545226449
138	0.07450790132
139	0.0736972508
140	0.07250238234
141	0.07146064868
142	0.07073526827
143	0.07025627765
144	0.06970117767
145	0.06927224983
146	0.06871206359
147	0.06774858591
148	0.0672121424
149	0.06696121325
150	0.06625664277
151	0.06600788075
152	0.06521223608
153	0.06480686639
154	0.06420452706
155	0.06393463381
156	0.06338732046
157	0.06299171311
158	0.06241705426
159	0.06185214408
160	0.06150678409
161	0.06112747466
162	0.06079316908
163	0.0602579151
164	0.06019705769
165	0.05990839175
166	0.05941738963
167	0.05904756225
168	0.05808979978
169	0.05772729416
170	0.05718269143
171	0.0562826724
172	0.05575712607
173	0.055126532
174	0.0544132178
175	0.05394677877
176	0.05386137535
177	0.05343352082
178	0.05286627944
179	0.05260431297
180	0.05202340225
181	0.05157232797
182	0.05122925133
183	0.05054417477
184	0.05038287734
185	0.05001446509
186	0.04959140969
187	0.04906904569
188	0.04901431367
189	0.04894807604
190	0.04846608425
191	0.04828629442
192	0.04795242638
193	0.04756742224
194	0.04733928557
195	0.0469758878
196	0.04667058555
197	0.04600609673
198	0.04543560807
199	0.04530772001
200	0.04481154274
201	0.04428501881
202	0.04417194517
203	0.04388226061
204	0.04372595373
205	0.04361371071
206	0.04329284203
207	0.04281682524
208	0.04256006466
209	0.04246109446
210	0.04232531722
211	0.0420615562
212	0.0417357038
213	0.04148150345
214	0.04109925096
215	0.04090350845
216	0.0405771194
217	0.04043296759
218	0.04005468362
219	0.04002165367
220	0.03968935799
221	0.03922380427
222	0.03897298451
223	0.03871286044
224	0.03835451817
225	0.03827756451
226	0.03802393841
227	0.03753100501
228	0.03716147843
229	0.03704944734
230	0.03676061733
231	0.03645872984
232	0.03629577117
233	0.03623873529
234	0.0361411016
235	0.03600260006
236	0.03594415248
237	0.03544912031
238	0.03536982519
239	0.03506959211
240	0.03496639019
241	0.03485452317
242	0.03483086931
243	0.03445558992
244	0.03408287076
245	0.03387829907
246	0.03370442271
247	0.03354665968
248	0.03332738295
249	0.03323220694
250	0.03305430395
251	0.03287835275
252	0.03245368739
253	0.03220438872
254	0.0321507471
255	0.03195778016
256	0.03183067144
257	0.03167749904
258	0.03157042432
259	0.03141794581
260	0.03119176092
261	0.0311038383
262	0.03103410044
263	0.03083757859
264	0.03053872303
265	0.03017988854
266	0.02995192962
267	0.02969382228
268	0.02956046511
269	0.02933841965
270	0.0290994234
271	0.02896060055
272	0.02865151778
273	0.02846878831
274	0.0283124011
275	0.02817474215
276	0.02806609335
277	0.02795992615
278	0.02782725262
279	0.02778800329
280	0.02772399602
281	0.02748110474
282	0.02729080569
283	0.02725645804
284	0.02707700148
285	0.0270590184
286	0.0270302646
287	0.02691361896
288	0.02680748082
289	0.02666450145
290	0.02658303579
291	0.02642170246
292	0.02638241894
293	0.02628748562
294	0.02605312443
295	0.0258962621
296	0.02580902482
297	0.02575106262
298	0.02555304018
299	0.02537573538
300	0.02520250163
301	0.02515010594
302	0.02506025718
303	0.02494572739
304	0.02471440326
305	0.0246962561
306	0.02465204355
307	0.02460783784
308	0.02452811716
309	0.02448495571
310	0.02429963696
311	0.02411507706
312	0.02398625924
313	0.02387625855
314	0.02385712354
315	0.02368330186
316	0.02358623388
317	0.02341388374
318	0.02335722045
319	0.02331455463
320	0.023219112
321	0.02317884233
322	0.02303315064
323	0.02293937608
324	0.02290652046
325	0.02280131378
326	0.02275504861
327	0.02268386485
328	0.02260741367
329	0.02248020753
330	0.02245708862
331	0.0222688986
332	0.02209467871
333	0.02203708908
334	0.0219792807
335	0.02194735995
336	0.02189153411
337	0.02179440803
338	0.02157459122
339	0.02155255075
340	0.02145906161
341	0.02129780691
342	0.02125115036
343	0.02122876977
344	0.0211093759
345	0.02101042963
346	0.02083871356
347	0.02072062885
348	0.02067764173
349	0.02060335939
350	0.02057931927
351	0.02054698322
352	0.02040825437
353	0.02035541261
354	0.02018196694
355	0.02013116584
356	0.0200913337
357	0.01998367446
358	0.019638752
359	0.0194805241
360	0.0194105914
361	0.0193573292
362	0.01928008842
363	0.01919740246
364	0.01909805284
365	0.01893070522
366	0.01890874336
367	0.01885842422
368	0.01884604868
369	0.01881106011
